,JKT,JKM,GRS,HARGA,LT,LB
725,3,3,1,3.5,195,300
726,3,2,1,1.3,96,155
727,4,3,1,2.5,260,160
728,3,2,2,1.3,86,84
729,2,1,1,0.785,72,50
731,2,2,1,1.1,150,120
732,4,4,2,2.25,135,225
734,3,2,1,0.85,104,90
735,5,4,1,1.35,135,200
736,2,2,1,1.3,112,100
737,3,2,1,1.2,112,100
739,5,4,2,2.6,308,150
740,4,3,1,2.4,230,200
741,3,2,1,0.7,70,100
742,3,3,2,1.75,90,100
743,3,2,1,1.1,150,120
744,2,1,1,0.799,72,55
745,5,4,1,1.35,133,200
746,5,2,1,1.1,90,150
747,4,4,3,4.4,305,281
748,3,2,2,1.35,86,83
749,5,3,2,2.95,280,320
750,3,2,1,1.34,93,90
751,3,2,2,1.3,86,83
752,5,3,3,1.95,173,240
753,6,3,7,4.0,400,450
755,4,3,2,2.05,476,250
756,3,1,1,0.48,60,65
757,3,2,1,0.849,104,90
758,3,1,1,0.785,72,55
760,3,2,1,1.44,140,150
761,4,3,2,2.5,126,144
762,3,2,1,1.25,144,275
763,4,3,0,1.85,151,120
764,5,2,1,0.995,120,150
765,5,3,1,2.75,237,160
766,4,3,1,2.4,230,197
767,3,2,1,1.35,112,100
768,2,1,1,0.65,60,55
770,4,3,1,5.0,360,192
771,3,3,1,1.2,96,144
772,4,3,2,0.935,140,100
773,4,2,1,1.22,72,180
775,4,3,2,2.25,476,250
776,3,2,1,1.65,145,100
777,3,2,2,0.975,90,100
785,3,3,2,1.35,80,100
787,3,3,1,1.4,90,88
788,3,2,1,1.2,128,100
789,5,3,2,1.6,111,152
790,5,2,2,1.6,187,100
791,2,1,1,1.3,96,45
792,4,2,0,6.0,260,195
794,2,2,1,0.78,97,68
796,4,3,1,1.45,121,78
797,3,2,0,1.3,86,84
798,5,2,1,1.25,140,148
799,3,2,0,1.4,135,200
800,2,1,1,0.83,95,45
801,3,2,1,1.65,144,120
802,4,2,2,2.2,118,150
803,4,4,1,2.35,160,230
804,3,3,1,1.3,96,144
805,3,1,1,1.45,198,60
806,4,4,2,1.27,120,130
808,3,2,3,3.8,256,212
809,4,4,0,3.2,157,152
810,3,2,1,1.2,112,112
811,2,1,0,0.775,72,43
813,3,3,2,1.45,90,88
815,2,1,1,0.5,60,40
817,3,3,0,1.2,96,144
818,5,5,2,2.7,308,100
819,3,1,1,1.3,168,120
820,5,5,1,5.0,394,394
821,2,2,2,1.3,180,120
822,4,3,1,1.45,121,120
823,4,3,2,1.8,156,240
824,4,3,3,6.35,550,400
825,6,3,4,2.9,400,450
826,1,1,0,1.3,170,130
827,2,1,0,0.47,72,121
830,3,3,1,1.75,90,100
832,2,1,1,0.76,66,40
833,5,4,1,3.6,239,250
834,3,2,1,1.3,86,83
835,3,3,5,4.4,305,281
836,3,1,1,0.75,96,45
837,3,3,1,2.14,126,160
838,4,2,1,1.5,115,220
839,2,2,1,0.696,81,51
840,4,3,2,2.2,476,250
841,3,3,2,1.45,139,98
842,3,1,0,0.49,80,75
843,4,3,1,0.8,102,100
844,3,3,0,1.5,139,98
845,3,4,0,2.1,126,180
846,3,3,1,1.65,233,200
847,4,2,1,0.8,96,75
848,3,1,1,1.2,162,111
849,4,2,0,1.75,151,198
850,2,1,0,1.5,136,50
851,3,2,1,1.19,96,114
852,3,3,0,1.5,122,160
853,3,1,1,0.8,120,80
854,2,2,0,0.95,120,270
855,7,6,0,3.9,239,314
856,2,1,1,0.95,102,65
857,3,2,2,2.0,171,239
858,3,3,1,1.29,70,105
859,3,3,2,4.7,216,120
860,5,3,2,4.95,180,360
861,4,3,1,2.2,160,160
862,4,2,1,1.55,151,198
863,3,2,1,0.65,60,90
864,4,3,1,2.0,135,225
866,3,2,1,1.1,112,100
867,2,1,2,0.85,90,50
868,3,2,1,1.2,100,100
869,4,2,1,0.75,70,100
870,3,2,1,2.1,105,110
871,4,3,1,1.85,135,225
872,5,3,1,3.6,239,250
873,4,4,3,13.0,369,500
874,3,2,1,0.845,104,90
875,2,2,2,0.644,68,50
877,4,4,1,2.7,160,245
878,7,5,4,10.0,360,400
880,6,4,1,4.5,310,265
881,4,2,0,3.25,186,200
882,4,2,1,2.58,216,200
883,4,3,1,1.3,140,100
885,3,1,1,1.0,120,90
887,4,2,0,2.58,216,200
888,4,4,1,1.6,140,120
889,3,1,1,1.4,198,60
890,4,3,2,2.3,230,197
891,4,4,2,2.95,270,310
892,5,4,4,2.8,397,300
895,5,4,0,1.6,121,128
896,6,4,1,1.75,140,220
897,5,3,3,2.8,113,320
898,3,3,0,1.55,96,144
899,3,2,0,1.3,78,90
900,4,4,2,1.99,95,125
901,3,2,1,1.65,120,144
905,2,1,0,1.25,101,50
906,3,2,1,0.975,90,100
907,2,2,2,2.0,120,110
908,4,3,1,3.5,195,300
909,4,3,2,1.1,68,120
910,5,4,0,2.7,144,200
911,3,2,0,2.3,104,134
914,3,2,0,0.8,52,52
915,3,3,0,1.75,90,110
916,3,2,0,0.6,60,41
918,3,2,0,0.675,60,50
919,2,2,0,0.61,54,41
922,8,2,0,1.0,135,135
923,2,3,0,1.15,60,150
926,4,2,2,2.0,225,225
929,2,2,1,0.875,112,75
930,3,2,1,1.7,145,100
932,2,2,1,1.35,118,159
936,8,6,0,5.5,280,450
940,4,5,3,2.95,225,350
945,5,6,1,5.4,260,400
947,4,2,2,1.6,120,200
948,3,1,1,0.975,106,94
949,3,2,0,0.985,107,70
950,3,2,1,1.07,176,150
951,4,3,1,1.7,160,150
952,4,3,1,1.6,150,250
953,5,3,0,1.1,105,175
954,3,2,0,1.07,176,140
955,3,2,1,0.65,107,90
956,3,2,0,1.79,128,200
957,4,4,0,1.45,114,200
958,4,4,1,2.85,300,205
959,3,3,1,2.9,410,200
960,3,3,2,1.15,96,135
961,3,2,1,1.65,327,120
963,3,2,2,1.15,100,135
964,5,5,3,3.15,424,500
965,2,2,1,1.11,176,120
966,4,3,2,1.4,120,110
967,3,2,1,0.875,99,70
968,3,3,0,0.99,117,110
969,4,3,2,0.81,120,150
970,3,3,2,2.9,300,108
971,4,4,2,1.4,114,200
972,4,3,0,1.65,144,180
973,4,5,3,4.25,311,420
974,3,2,2,1.79,128,200
975,3,2,1,1.49,120,170
976,3,2,1,0.875,60,100
977,3,3,2,1.35,146,115
978,2,1,1,0.67,92,92
979,3,3,1,1.15,96,135
981,3,2,1,0.83,93,70
982,3,2,1,0.795,98,65
983,4,4,2,2.8,220,180
984,4,5,2,4.5,359,300
985,3,3,1,1.54,120,118
986,4,2,1,1.25,200,150
987,2,2,1,0.77,60,70
988,2,2,1,0.75,60,60
989,2,1,1,0.67,93,92
990,3,2,2,2.5,355,240
991,3,2,1,1.25,100,155
992,3,3,1,2.5,200,200
993,3,2,2,1.65,327,120
994,3,3,2,1.6,122,160
995,5,4,2,1.27,120,130
996,3,3,0,1.35,100,133
997,2,1,1,2.5,180,120
998,4,3,2,1.35,180,124
999,3,2,1,1.27,115,120
1000,2,1,1,0.679,100,50
1001,3,2,1,1.12,176,140
1002,2,2,2,1.15,143,90
1003,4,3,1,0.794,118,150
1004,3,2,1,0.793,96,65
1005,3,2,2,1.64,327,120
1006,3,2,2,1.5,110,100
1007,6,4,2,2.8,240,200
1008,3,2,1,1.3,152,125
