Unnamed: 0,JKT,JKM,GRS,LT,LB,Category
996,3,3,0,100,133,Sedang
997,2,1,1,180,120,Sedang
998,4,3,2,180,124,Sedang
999,3,2,1,115,120,Sedang
1000,2,1,1,100,50,Murah
1001,3,2,1,176,140,Sedang
1002,2,2,2,143,90,Sedang
1003,4,3,1,118,150,Murah
1004,3,2,1,96,65,Murah
1005,3,2,2,327,120,Sedang
1006,3,2,2,110,100,Sedang
1007,6,4,2,240,200,Sedang
1008,3,2,1,152,125,Sedang
1009,6,3,2,146,150,Sedang
1011,3,2,1,117,120,Murah
1012,2,2,2,100,90,Murah
1013,3,2,1,327,150,Sedang
1014,4,2,1,120,200,Sedang
1015,7,4,1,144,250,Sedang
1016,4,4,1,122,185,Sedang
1017,2,1,0,64,40,Murah
1018,4,3,1,136,160,Sedang
1020,3,2,1,120,120,Sedang
1021,5,4,1,130,170,Sedang
1022,3,3,2,95,135,Sedang
1023,3,3,0,185,175,Sedang
1025,3,2,1,103,75,Murah
1026,3,2,1,96,135,Sedang
1027,3,3,1,186,245,Sedang
1029,4,2,1,82,85,Murah
1031,3,2,2,150,120,Sedang
1032,3,2,1,111,110,Sedang
1033,3,2,1,176,154,Sedang
1034,3,2,1,353,160,Sedang
1035,3,1,1,94,60,Murah
1036,3,1,1,230,120,Sedang
1038,1,1,1,126,90,Sedang
1039,4,2,0,353,160,Sedang
1040,5,5,3,424,280,Mahal
1041,4,2,2,82,85,Murah
1044,2,1,2,90,50,Murah
1045,3,2,1,147,220,Sedang
1047,3,2,1,118,150,Murah
1048,2,1,1,176,140,Sedang
1049,3,2,2,103,75,Murah
1052,3,2,1,136,120,Sedang
1053,2,2,1,105,70,Murah
1054,5,4,1,176,250,Sedang
1055,3,2,0,294,100,Sedang
1056,6,4,1,300,200,Mahal
1057,2,2,1,84,70,Sedang
1058,3,3,3,280,300,Mahal
1059,2,1,1,88,60,Murah
1060,3,2,1,101,70,Murah
1061,4,2,0,160,140,Murah
1063,5,3,1,180,180,Sedang
1064,3,2,3,300,200,Sedang
1067,3,3,2,85,120,Sedang
1068,2,1,1,90,50,Murah
1069,3,2,1,137,105,Sedang
1070,3,2,1,176,150,Sedang
1071,3,1,1,104,115,Murah
1072,3,2,2,480,200,Mahal
1073,3,3,1,100,105,Sedang
1075,2,2,1,100,70,Murah
1076,3,3,0,70,115,Sedang
1077,5,3,1,150,150,Sedang
1078,2,2,1,94,60,Murah
1079,2,1,0,163,55,Murah
1081,3,2,1,137,105,Sedang
1082,4,2,1,100,120,Murah
1083,3,2,0,130,110,Sedang
1084,3,2,0,150,95,Sedang
1085,2,1,1,107,50,Murah
1086,6,3,0,150,150,Sedang
1087,4,3,2,140,115,Sedang
1088,3,3,1,120,150,Sedang
1089,2,2,1,128,120,Murah
1090,3,2,2,150,95,Sedang
1091,4,3,1,100,120,Murah
1092,2,2,0,90,54,Murah
1093,4,3,2,283,115,Sedang
1094,2,1,1,90,38,Murah
1095,4,2,1,170,72,Sedang
1096,2,1,1,98,45,Murah
1097,2,1,1,98,54,Murah
1098,4,2,1,66,100,Murah
1099,3,2,1,116,80,Murah
1100,3,2,1,180,120,Sedang
1101,2,1,1,90,36,Murah
1102,2,1,2,119,63,Sedang
1103,3,3,2,132,164,Sedang
1104,3,2,1,155,150,Sedang
1105,4,3,0,120,110,Sedang
1106,5,2,0,110,90,Murah
1108,3,2,0,230,250,Sedang
1109,4,2,2,306,250,Sedang
1110,2,1,1,207,54,Sedang
1111,2,2,1,98,50,Murah
1112,2,1,1,75,45,Murah
1113,3,2,2,64,60,Murah
1114,3,1,2,64,60,Murah
1115,2,2,1,131,120,Murah
1117,6,4,0,477,371,Mahal
1118,5,4,1,133,170,Sedang
1119,5,3,1,112,175,Sedang
1120,3,2,1,139,104,Sedang
1121,5,3,0,300,225,Sedang
1122,4,2,1,122,130,Sedang
1123,5,4,0,176,150,Sedang
1124,2,1,0,72,40,Murah
1125,2,1,0,69,50,Murah
1126,4,2,2,353,160,Sedang
1127,3,2,1,90,70,Sedang
1131,3,2,1,220,150,Sedang
1132,2,2,1,220,150,Sedang
1134,4,2,1,102,150,Sedang
1135,3,3,2,200,150,Sedang
1136,3,3,2,70,115,Sedang
1137,4,3,2,200,160,Sedang
1143,4,3,2,114,400,Sedang
1145,3,3,0,200,200,Sedang
1146,3,2,1,220,180,Sedang
1147,2,1,1,89,80,Murah
1148,2,1,0,84,48,Murah
1149,4,3,1,133,170,Sedang
1150,3,2,3,147,220,Sedang
1152,7,2,1,625,320,Sedang
1155,1,2,2,68,50,Murah
1156,4,2,1,144,120,Murah
1157,4,3,1,163,200,Sedang
1158,2,1,2,90,80,Murah
1159,5,3,1,160,175,Sedang
1160,2,3,1,98,136,Sedang
1162,3,2,8,327,170,Sedang
1165,2,1,1,98,60,Murah
1166,5,2,2,187,180,Sedang
1168,3,2,1,111,110,Sedang
1171,3,3,1,100,98,Sedang
1172,2,1,1,115,40,Murah
1174,3,3,2,300,200,Mahal
1177,4,3,2,120,110,Sedang
1178,5,3,0,178,220,Sedang
1179,3,2,0,90,70,Sedang
1180,2,1,1,84,80,Murah
1181,2,1,1,100,50,Murah
1182,4,2,2,370,160,Sedang
1184,4,5,1,424,500,Mahal
1186,6,3,1,124,200,Sedang
1188,3,2,0,149,100,Sedang
1189,2,1,1,71,50,Murah
1191,2,2,1,105,60,Murah
